category,current_price,competitor_price,demand_score,stock_quantity,sales_history,customer_visits,season_factor,recommended_price
Accessories,4768.36,5100.23,59.87,102,121,16900,0.85,4667.46
Footwear,1422.31,1622.82,83.24,293,385,5361,1.3,1543.75
Electronics,56072.7,56489.15,43.19,48,474,18992,0.87,55320.36
Home Appliances,8164.57,8454.54,38.25,243,831,17962,0.82,7927.8
Footwear,8547.32,8420.39,1.33,88,315,10303,1.2,8474.79
Accessories,1432.82,1511.59,61.0,263,942,8276,1.25,1535.21
Accessories,1156.51,1245.11,42.52,53,105,8039,0.82,1137.8
Fashion,5421.55,5580.78,92.19,455,461,1066,1.28,5810.06
Wearables,16769.74,15619.41,82.87,409,216,6381,1.07,16757.38
Electronics,17110.91,16717.71,39.49,135,471,15472,1.21,17532.59
Electronics,111031.16,120696.72,60.6,489,230,6234,1.26,114154.17
Electronics,23580.38,22243.24,32.52,98,683,11015,1.24,24650.51
Electronics,66695.13,76133.4,84.89,4,217,552,1.19,75434.95
Fashion,639.81,564.54,3.14,230,240,8805,1.08,597.34
Accessories,4565.56,4222.18,41.04,170,540,1109,1.27,4767.96
Accessories,4669.58,5101.22,63.34,133,795,13981,0.89,4879.19
Home Appliances,53346.97,50535.78,12.21,472,230,1356,1.01,49677.88
Home Appliances,32112.6,31316.95,22.21,306,233,713,1.27,32108.17
Home Appliances,15469.56,15739.2,40.38,317,496,6635,1.28,15948.05
Electronics,34991.74,40216.78,26.68,1,641,14605,0.83,34952.29
Wearables,15112.71,15721.83,68.07,52,683,5841,1.08,15920.91
Footwear,3815.33,4162.3,47.03,97,197,1980,1.21,4013.39
Electronics,35346.87,35433.81,69.58,258,659,2861,1.14,36853.55
Footwear,4965.59,4364.03,94.05,423,639,2435,1.22,5106.84
Footwear,4883.52,4317.23,92.47,477,297,16696,1.13,4892.0
Accessories,1525.9,1753.07,96.54,452,36,7208,0.97,1581.97
Footwear,8763.86,9675.29,85.63,53,119,12233,1.23,9606.29
Home Appliances,56587.61,64628.66,28.39,365,337,12019,1.15,58448.86
Wearables,10522.23,11192.01,23.72,276,815,4037,0.98,10605.02
Electronics,88242.93,88476.27,63.63,21,749,18127,1.29,96789.73
Wearables,20496.2,22993.25,43.44,276,797,7072,1.05,21348.7
Footwear,7377.65,7972.03,4.36,171,219,18639,1.28,7445.78
Wearables,35572.77,38216.39,95.31,348,496,351,1.28,38247.14
Electronics,57784.47,52055.01,55.68,222,565,619,1.27,58634.85
Home Appliances,8539.06,8833.68,99.01,449,638,16588,0.95,8818.29
Electronics,109835.35,105205.5,29.36,246,537,6036,0.93,105624.19
Wearables,5100.58,4343.43,62.79,19,320,12089,1.15,5209.8
Accessories,3020.67,2964.91,67.2,50,664,17008,1.29,3268.45
Home Appliances,36677.5,31511.47,3.73,325,782,15388,0.86,34246.92
Accessories,4836.68,4774.68,84.2,479,883,4192,1.15,5034.83
Accessories,923.9,1054.05,71.46,146,656,8361,0.94,964.89
Wearables,9004.68,7872.45,42.83,395,640,1131,1.26,8984.07
Fashion,1818.83,1597.23,18.29,236,884,13234,1.28,1841.4
Home Appliances,44612.24,38559.02,56.6,434,996,7303,0.81,43148.02
Home Appliances,8232.55,7230.21,31.14,445,452,11201,0.85,7278.13
Electronics,77730.96,81223.58,4.81,245,836,2899,0.93,75095.44
Fashion,3942.23,3945.94,85.65,324,515,19273,1.27,4235.62
Accessories,2124.4,2215.72,45.83,178,426,5437,0.99,2153.65
Electronics,102950.44,93891.35,27.4,11,606,3423,0.81,99515.45
Electronics,103522.56,99963.35,68.16,417,114,8858,1.05,101088.61
Fashion,4332.05,4499.63,87.75,419,728,11707,1.01,4551.34
Footwear,5656.27,5439.1,77.64,151,662,7407,1.08,5994.71
Accessories,2316.27,2490.6,75.45,360,797,13634,1.07,2366.78
Wearables,36029.88,34832.27,1.08,232,914,4221,0.98,34892.48
Accessories,4765.29,5409.47,57.34,366,143,4541,0.96,4828.49
Electronics,30317.72,34237.16,97.42,397,222,4779,1.02,31803.5
Wearables,15334.77,13573.11,14.3,73,953,2589,1.23,15591.08
Fashion,2681.58,2996.86,14.66,28,164,13857,1.23,2817.2
Home Appliances,49329.58,55948.35,98.6,131,803,3191,1.15,53742.24
Footwear,3886.22,3688.32,43.45,172,652,9485,1.09,3916.52
Accessories,858.44,759.94,64.92,0,386,10238,0.92,851.36
Electronics,132260.88,121293.64,96.32,43,684,1902,0.96,134660.5
Home Appliances,55704.67,62708.68,25.3,146,531,11754,1.06,57975.75
Electronics,99720.34,102242.7,90.12,440,970,13373,1.28,108540.29
Home Appliances,28972.43,30016.6,27.74,347,675,3769,0.98,28265.75
Electronics,50093.23,49390.54,3.23,200,928,2829,0.94,48777.06
Wearables,36615.23,40158.17,94.98,255,708,18272,1.26,39902.44
Electronics,119976.31,119269.77,98.53,266,852,4208,1.0,126154.51
Footwear,10294.88,11339.8,46.87,98,510,434,0.81,10362.91
Wearables,39989.27,45947.32,55.54,484,564,10966,1.18,41402.1
Footwear,3871.36,3813.92,12.92,50,684,17150,0.9,3807.97
Fashion,2469.89,2183.55,67.16,161,437,10407,1.22,2554.41
Fashion,5187.0,5267.77,56.09,221,762,10090,1.09,5236.42
Wearables,25571.76,27137.37,21.3,421,703,13101,1.29,26013.79
Fashion,3744.55,3623.5,43.75,446,993,17765,1.07,3775.9
Home Appliances,38458.94,42639.78,94.95,387,137,19906,1.05,39818.71
Accessories,611.31,528.02,62.08,449,204,6319,1.12,591.11
Electronics,77116.09,79077.14,40.03,399,519,12697,1.15,77459.61
Electronics,136066.44,135003.55,66.76,433,60,11364,0.82,128406.56
Wearables,3208.58,3255.47,53.44,11,345,19027,0.86,3192.87
Fashion,4297.17,3703.28,79.94,120,213,10528,1.06,4307.55
Electronics,52378.48,57189.99,74.83,252,691,352,0.99,54099.77
Home Appliances,16458.64,17742.2,53.13,385,364,6859,0.82,16136.45
Home Appliances,45728.13,39286.94,86.72,293,738,1956,0.92,45029.92
Electronics,114549.7,103631.42,56.4,272,230,6279,0.96,112772.8
Footwear,8207.29,8157.01,58.42,469,33,12960,1.17,8204.46
Electronics,91201.9,87885.05,33.74,179,281,15729,1.09,89093.75
Home Appliances,15843.97,15203.98,48.78,349,842,19951,0.94,15713.07
Electronics,25831.56,26021.51,41.04,35,919,5392,1.25,27840.81
Home Appliances,58578.83,58416.25,72.29,61,440,896,1.07,61235.75
Fashion,2039.89,2204.81,18.7,117,835,16658,1.17,2165.38
Home Appliances,19451.94,19926.01,15.44,355,844,18460,1.1,19406.89
Home Appliances,22186.44,19753.13,6.34,171,897,18494,1.14,22456.15
Footwear,4967.78,5607.92,83.06,235,945,1958,1.17,5416.33
Electronics,42675.24,41129.06,92.64,319,917,6001,1.19,45687.37
Accessories,1069.18,961.49,81.46,378,77,7627,1.25,1090.95
Electronics,133422.07,129117.01,81.66,294,615,6993,1.03,137997.33
Electronics,46348.71,51904.64,38.39,461,820,3737,0.91,45659.38
Footwear,5860.5,5566.57,73.05,41,447,15424,1.24,6330.21
Footwear,9716.85,8701.46,31.17,484,410,17384,0.87,8914.72
Accessories,2978.48,3213.0,87.68,352,117,6421,1.03,3053.53
Wearables,20481.58,19922.16,77.19,410,94,2724,1.15,21119.6
Accessories,3666.04,3774.96,82.68,253,841,11161,1.09,3850.34
Home Appliances,38052.16,42753.73,13.91,209,984,15378,0.81,36812.1
Accessories,3086.93,2718.54,91.88,132,887,6009,1.13,3240.47
Electronics,72257.64,77383.11,93.44,213,778,13768,0.86,76303.01
Wearables,39423.97,43432.18,12.47,312,0,1904,0.96,37959.08
Electronics,115473.7,105274.37,78.78,153,936,8020,1.0,117641.55
Electronics,131574.95,148270.24,46.57,474,417,3650,1.09,133635.49
Accessories,2268.95,2551.33,36.24,62,661,19147,0.81,2257.17
Wearables,21576.6,24654.77,45.9,147,629,9966,0.89,21877.46
Home Appliances,45747.75,41766.4,89.81,31,669,9742,1.04,47455.25
Footwear,1909.65,2067.5,45.33,193,501,5282,1.0,1922.67
Electronics,60138.98,52480.34,75.32,265,457,10143,1.06,60325.43
Electronics,18427.16,16526.32,71.6,348,7,17266,1.08,17889.1
Wearables,24611.86,23425.11,56.94,50,608,3104,1.16,25548.4
Footwear,3826.26,4081.39,85.57,490,911,8406,0.87,3818.15
Fashion,571.51,500.44,20.79,146,623,3502,1.24,567.97
Wearables,18014.13,20136.23,81.74,403,522,4891,1.21,19151.28
Accessories,3233.5,3145.62,55.2,225,52,7133,0.91,3132.63
Fashion,4699.83,4192.41,86.85,119,58,16136,1.2,4839.22
Home Appliances,45276.16,47977.05,40.26,200,757,17735,1.22,47606.3
Accessories,921.7,1032.46,69.12,292,74,5525,1.05,943.78
Home Appliances,50295.28,45865.6,1.1,468,26,8042,0.93,44546.53
Footwear,7652.06,7882.81,66.5,454,905,11714,1.01,7807.23
Fashion,1414.56,1515.57,8.28,291,370,13131,0.83,1305.68
Footwear,4317.89,4130.94,71.9,294,743,17767,1.04,4425.07
Wearables,20382.69,18975.74,53.98,466,738,15900,1.22,20640.14
Footwear,7645.9,7265.7,77.09,72,712,2393,1.16,8275.71
Fashion,3028.25,2642.99,7.78,107,171,9700,0.94,2821.89
Fashion,1067.02,1007.67,80.74,304,956,16763,1.15,1109.07
Footwear,9108.03,9945.68,65.88,373,975,5369,0.92,9353.66
Electronics,102299.76,108228.3,5.16,25,46,4923,1.09,99706.78
Wearables,29778.9,27032.68,11.53,314,726,1550,1.04,28474.27
Home Appliances,6128.31,6045.84,52.24,102,272,9424,0.98,6088.95
Footwear,8719.92,8301.04,72.48,363,38,6690,1.07,8862.86
Home Appliances,21168.89,21968.39,88.6,425,107,15279,1.01,21361.24
Footwear,10646.78,10739.2,93.91,226,890,7256,0.8,10916.93
Wearables,31153.15,30236.61,47.99,184,271,19945,0.94,30289.03
Accessories,3766.64,3471.46,11.05,141,375,2083,0.95,3575.59
Home Appliances,36579.19,34134.95,91.03,462,584,4544,0.99,36203.95
Fashion,4888.94,4535.45,58.86,294,439,8252,1.25,5037.51
Fashion,1418.69,1627.73,23.17,147,860,15984,0.92,1445.24
Electronics,40169.17,43538.37,35.01,260,53,7264,0.91,38848.32
Electronics,140246.56,161069.29,17.39,489,418,14601,1.25,145308.13
Wearables,22405.03,23029.72,58.01,97,266,18074,1.0,22642.56
Footwear,2598.76,2901.84,95.57,331,169,13824,1.13,2726.29
Accessories,2051.64,1903.77,72.34,89,913,8278,0.91,2100.14
Wearables,35990.24,41296.73,6.15,300,223,16751,1.1,35553.53
Fashion,3490.78,3872.49,73.39,215,146,18817,1.13,3699.35
Electronics,36240.99,32548.76,33.4,44,344,13531,0.85,34405.73
Wearables,35473.09,39430.22,2.92,22,425,7611,1.21,36959.06
Wearables,30253.31,27174.37,81.8,205,588,344,0.9,30105.23
Electronics,100294.83,93067.69,63.4,343,364,1057,0.85,95645.49
Home Appliances,4050.38,3968.04,84.01,411,571,2432,1.27,4233.95
Footwear,2996.88,3240.51,70.86,373,704,11433,0.82,3009.39
Fashion,5945.82,6259.85,44.6,250,226,2478,0.99,5978.02
Footwear,8579.59,8440.35,27.36,284,515,14338,0.85,8141.51
Electronics,37089.22,40369.49,69.37,371,799,14048,1.14,38620.17
Electronics,145036.95,124643.4,73.13,302,975,16183,1.18,150825.57
Wearables,39391.15,38319.72,89.41,14,161,2030,0.9,40383.12
Fashion,5253.97,5211.74,96.82,429,984,5826,0.85,5364.54
Footwear,10323.66,11132.08,62.62,447,939,8934,1.26,11132.91
Accessories,2322.44,2113.78,49.16,318,725,5159,0.96,2306.21
Fashion,4886.58,4608.57,45.52,71,788,17823,1.29,5211.92
Electronics,131116.52,142124.45,3.96,213,690,13449,0.87,129143.42
Accessories,4937.31,4407.78,49.89,85,91,16069,0.97,4814.76
Electronics,62334.64,53605.35,7.86,405,102,10483,1.29,58741.9
Fashion,4292.06,4679.1,20.02,374,427,18329,1.12,4354.63
